City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
6167865,Toronto,CA,43.7001,-79.4163,28.94,47,32,7.96
3833367,Ushuaia,AR,-54.8,-68.3,44.6,57,40,35.68
4020109,Atuona,PF,-9.8,-139.0333,78.76,62,72,2.73
3883457,Lebu,CL,-37.6167,-73.65,64.87,61,0,8.61
6165406,Thompson,CA,55.7435,-97.8558,15.8,67,20,11.5
5044290,Saint Anthony,US,45.0205,-93.218,43.79,53,1,10.36
110690,Faya,SA,18.3851,42.4509,71.6,49,0,9.22
3115824,Muros,ES,42.7762,-9.0603,57.0,73,85,8.01
4030556,Rikitea,PF,-23.1203,-134.9692,79.23,78,72,6.69
2121197,Sinegor'ye,RU,62.0788,150.477,-16.38,90,73,2.48
3060835,Čadca,SK,49.435,18.789,49.08,43,20,16.11
6167817,Torbay,CA,47.6666,-52.7314,43.75,61,20,14.97
2155415,New Norfolk,AU,-42.7826,147.0587,46.87,57,40,6.91
2126199,Cherskiy,RU,68.75,161.3,-7.44,96,100,18.52
2206939,Bluff,NZ,-46.6,168.3333,46.99,92,4,8.03
5106841,Albany,US,42.6001,-73.9662,31.96,32,0,1.01
3430863,Mar del Plata,AR,-38.0023,-57.5575,73.4,49,0,9.22
2094342,Kavieng,PG,-2.5744,150.7967,81.77,63,0,4.32
964432,Port Alfred,ZA,-33.5906,26.891,81.0,64,79,7.9
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,34,0,13.8
5848280,Kapaa,US,22.0752,-159.319,69.3,94,90,29.93
2027042,Batagay-Alyta,RU,67.8006,130.4114,-19.88,80,76,2.33
98182,Baghdad,IQ,33.3406,44.4009,64.4,27,0,6.91
3372964,Lagoa,PT,39.05,-27.9833,59.77,82,100,24.74
5282297,Bethel,US,41.3712,-73.414,35.56,28,1,10.36
2110227,Butaritari,KI,3.0707,172.7902,80.47,81,44,10.85
2075265,Busselton,AU,-33.65,115.3333,55.6,84,0,14.07
1499428,Mamontovo,RU,52.7055,81.6244,-7.64,97,86,8.77
2163355,Hobart,AU,-42.8794,147.3294,47.44,57,40,6.91
4419500,Brookhaven,US,31.5791,-90.4407,64.4,94,90,3.44
1507390,Dikson,RU,73.5069,80.5464,-21.6,96,100,18.43
610298,Beyneu,KZ,45.3167,55.2,26.08,40,28,8.12
4032243,Vaini,TO,-21.2,-175.2,69.8,94,20,3.44
964420,Port Elizabeth,ZA,-33.918,25.5701,75.2,64,0,13.8
5122534,Jamestown,US,42.097,-79.2353,27.63,68,1,7.47
5983720,Iqaluit,CA,63.7506,-68.5145,-13.5,64,40,17.27
2171722,Charters Towers,AU,-20.1,146.2667,72.32,83,0,6.51
1043893,Lichinga,MZ,-13.3128,35.2406,66.11,94,75,5.75
2947641,Blomberg,DE,51.9433,9.0907,41.36,92,100,8.01
5558953,Arcata,US,40.8665,-124.0828,43.97,93,90,4.61
5924351,Clyde River,CA,70.4692,-68.5914,-5.8,84,75,19.57
6355222,Yulara,AU,-25.2406,130.9889,68.0,77,90,13.8
3693646,Picota,PE,-6.9197,-76.3304,80.67,74,75,3.44
3466704,Castro,BR,-24.7911,-50.0119,79.11,54,15,4.36
1528998,Yumen,CN,40.2833,97.2,50.86,24,67,15.41
3697838,Contamana,PE,-7.3333,-75.0167,88.32,51,37,4.47
5880054,Barrow,US,71.2906,-156.7887,-13.0,70,1,18.41
5710360,Winnemucca,US,40.973,-117.7357,17.6,73,1,5.75
2381972,Adrar,MR,20.5022,-10.0711,84.33,8,97,12.71
3874787,Punta Arenas,CL,-53.15,-70.9167,50.0,46,75,26.46
4341513,Shreveport,US,32.5251,-93.7502,65.25,88,90,9.22
1278935,Amalāpuram,IN,16.5833,82.0167,84.2,58,1,10.36
3366880,Hermanus,ZA,-34.4187,19.2345,75.0,69,79,1.99
3393115,Paracuru,BR,-3.41,-39.0306,82.99,71,84,15.01
1812805,Dinghaicun,CN,26.2847,119.7936,55.4,76,75,6.71
3443061,Chui,UY,-33.6971,-53.4616,75.09,62,78,7.29
3831208,Qaanaaq,GL,77.484,-69.3632,-1.82,64,98,3.4
2136825,Isangel,VU,-19.55,169.2667,77.0,94,75,11.03
5855927,Hilo,US,19.7297,-155.09,65.25,82,1,7.43
898912,Serenje,ZM,-13.2325,30.2352,69.58,92,100,5.41
3393471,Oriximiná,BR,-1.7656,-55.8661,87.89,55,82,2.64
5866583,Saint Paul Harbor,US,57.79,-152.4072,23.0,39,1,18.41
1804874,Kaihua,CN,23.3687,104.28,59.65,97,2,6.31
4034551,Faanui,PF,-16.4833,-151.75,81.68,71,10,6.22
3347019,Mossamedes,AO,-15.1961,12.1522,82.4,61,75,12.66
3361142,Springbok,ZA,-29.6643,17.8865,79.99,26,8,16.93
935215,Saint-Philippe,RE,-21.3585,55.7679,75.13,74,20,20.71
6185377,Yellowknife,CA,62.456,-114.3525,-13.5,76,20,5.75
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,90,6.91
2209055,Waddān,LY,29.1614,16.139,75.49,18,61,19.73
4636045,Lebanon,US,36.2081,-86.2911,51.76,93,90,4.61
4031574,Provideniya,RU,64.3833,-173.3,29.37,97,100,23.24
314967,Fethiye,TR,36.6217,29.1164,62.6,51,75,5.75
5557293,Sitka,US,57.0531,-135.33,30.2,64,90,14.97
100926,Umluj,SA,25.0213,37.2685,74.12,63,56,11.16
2022572,Khatanga,RU,71.9667,102.5,-8.93,82,100,13.02
286245,Sur,OM,22.5667,59.5289,81.66,45,0,17.22
1015776,Bredasdorp,ZA,-34.5322,20.0403,80.6,50,81,6.91
352733,Marsá Maţrūḩ,EG,31.3525,27.2453,62.6,55,75,11.5
2757220,Den Helder,NL,52.9599,4.7593,45.12,76,90,34.52
2381334,Atar,MR,20.5169,-13.0499,89.44,5,1,14.27
3374210,São Filipe,CV,14.8961,-24.4956,73.08,66,11,7.81
3892454,Diego de Almagro,CL,-26.3667,-70.05,76.53,34,0,8.68
546105,Nikolskoye,RU,59.7035,30.7861,38.03,81,20,6.71
3372707,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,17.27
5546220,Saint George,US,37.1041,-113.5841,32.7,93,90,3.44
2125693,Evensk,RU,61.95,159.2333,-3.86,74,95,7.36
2016422,Slyudyanka,RU,51.6594,103.7061,33.69,74,95,2.98
3421719,Narsaq,GL,60.9167,-46.05,21.2,38,90,3.44
6201424,Mataura,NZ,-46.1927,168.8643,46.99,92,0,2.62
934322,Mahébourg,MU,-20.4081,57.7,80.6,78,75,9.22
2017215,Sangar,RU,63.9242,127.4739,6.75,91,100,18.92
2065594,Mount Isa,AU,-20.7333,139.5,77.0,73,93,10.36
1278458,Arang,IN,21.2,81.9667,80.6,54,19,2.3
2123814,Leningradskiy,RU,69.3833,178.4167,14.0,77,51,10.04
1282256,Hithadhoo,MV,-0.6,73.0833,84.33,65,46,7.07
3412888,Stykkisholmur,IS,65.0757,-22.7297,26.65,61,89,12.21
2171099,Codrington,AU,-38.2667,141.9667,52.3,66,0,10.4
